,eMolecules ID,canonical isomeric SMILES,eMolecules SMILES,"pKas in [3,11]",XlogP,MolWt,Availability (mg),Price,group,N_Rot,N_UV_chrom,Selection,Bin index,Priority
0,492822,CN(C)CCCN1c2ccccc2Sc3c1cc(cc3)Cl.Cl,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C.Cl,[9.638],5.49600076675415,355.325,50160.1,148.0,drug-like,4,24,picked,8,1
1,10794751,CC(C)(C)c1cc(n(n1)c2ccccc2)NC(=O)Nc3cccc(c3Cl)Cl,O=C(Nc1cccc(c1Cl)Cl)Nc1cc(nn1c1ccccc1)C(C)(C)C,[4.113],5.784000396728516,403.305,324.5,148.0,drug-like,6,35,picked,9,1
2,3044617,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3ccc(cc3)F)Cl,Fc1ccc(cc1)CSc1nnc(s1)NC(=O)c1ccccc1Cl,[6.525],5.237000465393066,379.85900000000004,121.5,148.0,drug-like,6,24,picked,7,1
3,3365457,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(c(c3)Cl)Cl,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc1ccc(c(c1)Cl)Cl,[9.167],5.1710004806518555,381.276,489.9,148.0,drug-like,6,28,picked,7,2
4,4038159,Cc1ccc(cc1C)c2csc(c2C(=O)N)NC(=O)CCCC(=O)O,OC(=O)CCCC(=O)Nc1scc(c1C(=O)N)c1ccc(c(c1)C)C,[4.663],2.314000129699707,360.42699999999996,100.0,168.0,drug-like,8,28,picked,,1
5,536848,c1cc2c(cc(c(c2nc1)O)I)I,Ic1cc(I)c2c(c1O)nccc2,"[3.511, 6.794]",3.370999813079834,396.95099999999996,239.0,168.0,drug-like,0,29,picked,1,1
6,4375254,CCOC(=O)c1ccc(cc1)Nc2cc(nc(n2)Nc3ccc(cc3)C(=O)OCC)C,CCOC(=O)c1ccc(cc1)Nc1cc(C)nc(n1)Nc1ccc(cc1)C(=O)OCC,[6.336],2.937000036239624,420.461,319.0,168.0,drug-like,10,28,picked,,1
7,876432,COc1cc2c(cc1OCCCN3CCOCC3)c(ncn2)Nc4ccc(c(c4)Cl)F,COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,"[4.155, 6.994]",2.7179996967315674,446.902,143.0,168.0,drug-like,8,36,picked,,1
8,17664146,CN1CCN(CC1)c2c(cccc2Cl)NC(=O)c3ccc(o3)Br,CN1CCN(CC1)c1c(cccc1Cl)NC(=O)c1ccc(o1)Br,[7.773],3.1090002059936523,398.68199999999996,379.0,168.0,drug-like,4,18,picked,0,1
9,4424334,c1ccc2c(c1)c(nnc2Nc3ccc(c(c3)Cl)Cl)c4ccc(cc4)C(=O)N,NC(=O)c1ccc(cc1)c1nnc(c2c1cccc2)Nc1ccc(c(c1)Cl)Cl,[5.578],4.270000457763672,409.26800000000003,308.0,168.0,drug-like,4,67,picked,4,1
10,901601,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F,Cc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F,[9.703],3.4699997901916504,381.37199999999996,1000.0,168.0,drug-like,4,49,picked,1,2
11,2010194,c1ccc(cc1)c2c3c(ncnc3oc2c4ccccc4)NCCN5CCOCC5,O1CCN(CC1)CCNc1ncnc2c1c(c1ccccc1)c(o2)c1ccccc1,"[3.523, 7.492]",3.253999948501587,400.473,110.0,168.0,drug-like,6,71,picked,0,2
12,1574612,c1cc(cc(c1)Br)Nc2c(cnc(n2)Nc3cccc(c3)Br)F,Brc1cccc(c1)Nc1ncc(c(n1)Nc1cccc(c1)Br)F,[3.892],4.140000343322754,438.092,222.0,168.0,drug-like,4,28,picked,3,1
13,46568819,c1cc(cc(c1)OCc2ccc(cc2Cl)Cl)/C=C/3\C(=O)NC(=O)S3,O=C1NC(=O)/C(=C\c2cccc(c2)OCc2ccc(cc2Cl)Cl)/S1,[8.05],5.238000392913818,380.245,154.0,219.0,drug-like,4,24,picked,7,3
14,1267281,CCOc1ccc(cc1)Nc2c(cnc(n2)Nc3ccc(cc3)OCC)F,CCOc1ccc(cc1)Nc1ncc(c(n1)Nc1ccc(cc1)OCC)F,[3.892],3.051999807357788,368.405,113.0,219.0,drug-like,8,28,picked,0,3
15,3513384,c1ccc(c(c1)c2c(=O)[nH]c3ccccc3n2)NC(=O)c4ccc(cc4)F,Fc1ccc(cc1)C(=O)Nc1ccccc1c1nc2ccccc2[nH]c1=O,[8.46],4.201000213623047,359.353,107.7,249.0,drug-like,4,58,picked,4,2
16,6697792,c1cc(cc(c1)NC(=O)c2c(csn2)NCc3ccncc3)C(F)(F)F,O=C(c1nscc1NCc1ccncc1)Nc1cccc(c1)C(F)(F)F,"[3.551, 6.338, 10.666]",3.408999443054199,378.37199999999996,9888.0,355.0,drug-like,7,21,picked,1,3
17,44160581,CC(C)(C)c1ccc(cc1)NC(=O)c2c(ncs2)CCc3ccncc3,O=C(c1scnc1CCc1ccncc1)Nc1ccc(cc1)C(C)(C)C,[5.689],4.278000354766846,365.49199999999996,9888.0,355.0,drug-like,7,21,picked,4,3
