,eMolecules ID,canonical isomeric SMILES,eMolecules SMILES,"pKas in [3,11]",XlogP,MolWt,Availability (mg),Price,group,N_Rot,N_UV_chrom,Selection,Bin index,Priority,Final list,Chemspider
0,490595,COc1ccc2c(cc(=O)oc2c1)CC(=O)O,COc1ccc2c(c1)oc(=O)cc2CC(=O)O,[3.621],0.669000089,234.205,3439.8,223,fragment-like,3,29,picked,3,1,TRUE,1.679 Life Chemicals F1083-0011
1,532754,c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)O,Oc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O,"[8.584, 9.84, 10.869]",0.887000322,270.237,1015,168,fragment-like,1,56,picked,4,1,TRUE,2.958 Vitas-M STK801619
2,4934119,COC(=O)c1ccc(cc1)Nc2c3c([nH]cn3)ncn2,COC(=O)c1ccc(cc1)Nc1ncnc2c1nc[nH]2,"[3.923, 9.999]",0.849999845,269.259,108,275,fragment-like,4,20,picked,4,2,TRUE,2.291 Vitas-M STK944571
3,2867544,c1nc(c2c3c(sc2n1)CCC3)N,Nc1ncnc2c1c1CCCc1s2,[4.048],1.042999983,191.253,1026,168,fragment-like,0,10,picked,5,1,TRUE,2.367 Vitas-M STK894648
4,2727697,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)N,Nc1ccc(c(c1)Nc1nccc(n1)c1cccnc1)C,"[3.887, 4.98]",1.296999931,277.324,101.1,400,fragment-like,3,36,picked,7,1,TRUE,1.628 Life Chemicals F9995-0188
5,719540,c1ccc(cc1)n2c3c(cn2)c(ncn3)N,Nc1ncnc2c1cnn2c1ccccc1,[3.869],1.499000192,211.223,3430,414,fragment-like,1,31,picked,8,1,TRUE,None
6,493608,c1ccc(cc1)c2cc(=O)c3c(cc(cc3o2)O)O,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1,"[8.416, 10.823]",1.713000178,254.238,1056,168,fragment-like,1,54,picked,9,1,TRUE,2.879 Vitas-M STK801609
7,508324,COc1cc(c(cc1OC)Br)C(=O)O,COc1cc(C(=O)O)c(cc1OC)Br,[3.005],1.700000048,261.069,10134,168,fragment-like,3,12,picked,9,2,TRUE,2.626 Vitas-M STK505709
8,37095168,c1ccc2c(c1)ncn2c3ccc(cc3)O,Oc1ccc(cc1)n1cnc2c1cccc2,"[5.82, 8.709]",2.21900034,210.231,21650.2,148,fragment-like,1,40,picked,11,1,TRUE,None
9,37053191,c1ccc(cc1)c2[nH]c3ccc(cc3n2)C(=O)N,NC(=O)c1ccc2c(c1)nc([nH]2)c1ccccc1,[6.342],2.192000389,237.257,2000,168,fragment-like,2,42,picked,11,2,TRUE,None
10,31653344,c1ccc(cc1)n2cnc3c2ccc(c3)N,Nc1ccc2c(c1)ncn2c1ccccc1,[6.348],2.332999945,209.247,50213,148,fragment-like,1,40,picked,12,1,TRUE,None
11,2042282,c1cc(c(c(c1)F)C(=O)Nc2ccncc2)F,O=C(c1c(F)cccc1F)Nc1ccncc1,"[4.714, 10.538]",2.304999828,234.202,100,168,fragment-like,3,20,picked,12,2,TRUE,1.406 Vitas-M STK462431
12,13419113,c1ccc(cc1)NC(=O)c2c3ccccc3[nH]n2,O=C(c1n[nH]c2c1cccc2)Nc1ccccc1,[8.398],2.642999887,237.257,762.8,223,fragment-like,3,36,picked,13,1,TRUE,None
13,5828805,Cc1cccc(c1)Nc2c3cc(c(cc3ncn2)OC)OC,COc1cc2c(ncnc2cc1OC)Nc1cccc(c1)C,[4.267],2.595000267,295.336,1864,414,fragment-like,4,36,picked,13,2,TRUE,None
14,23354217,c1ccc(cc1)C(=O)NCC(=O)Nc2nc3ccccc3s2,O=C(Nc1nc2c(s1)cccc2)CNC(=O)c1ccccc1,[8.672],2.717999935,311.358,149.1,148,fragment-like,6,28,picked,14,1,TRUE,None
15,1698122,c1cc(ccc1Nc2c(cnc(n2)Nc3ccc(cc3)F)F)F,Fc1ccc(cc1)Nc1ncc(c(n1)Nc1ccc(cc1)F)F,[3.892],2.813999653,316.281,105,168,fragment-like,4,28,picked,14,2,TRUE,4.293 Vitas-M STK699264
16,18893169,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,Brc1cncc(c1)C(=O)Nc1cccc2c1nccc2,"[4.001, 10.328]",2.92299962,328.163,406,148,fragment-like,3,37,picked,15,1,TRUE,None
