,index,eMolecules ID,predicted pKas,"pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES,eMolecules SMILES,"pKa count in [4,10]","pKas in [4,10]"
0,3,859659,"[-1.464, 1.397, 9.967, 14.623]",1.0,False,c1ccc(cc1)c2cc(c(s2)N)C(=O)N,NC(=O)c1cc(sc1N)c1ccccc1,1.0,[9.967]
1,4,1155596,"[5.1, 13.807]",1.0,False,COc1ccc(cc1)NC(=O)/C=C/c2ccccc2,COc1ccc(cc1)NC(=O)/C=C/c1ccccc1,1.0,[5.1]
2,5,4038159,"[-1.464, 0.867, 4.663, 13.619, 14.227]",1.0,False,Cc1ccc(cc1C)c2csc(c2C(=O)N)NC(=O)CCCC(=O)O,OC(=O)CCCC(=O)Nc1scc(c1C(=O)N)c1ccc(c(c1)C)C,1.0,[4.663]
3,6,2259473,"[-0.417, -0.375, 6.525]",1.0,False,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3cccc(c3)F)Cl,Fc1cccc(c1)CSc1nnc(s1)NC(=O)c1ccccc1Cl,1.0,[6.525]
4,7,6766101,"[-0.417, -0.375, 7.202]",1.0,False,c1ccc(cc1)CSc2nnc(s2)NC(=O)c3ccc(cc3)F,Fc1ccc(cc1)C(=O)Nc1nnc(s1)SCc1ccccc1,1.0,[7.202]
5,9,31653344,"[0.278, 6.348, 15.31]",1.0,False,c1ccc(cc1)n2cnc3c2ccc(c3)N,Nc1ccc2c(c1)ncn2c1ccccc1,1.0,[6.348]
6,10,5784088,"[2.1, 4.394, 13.772]",1.0,False,c1cc(ccc1c2nnc3n2nc(cc3)NC4CC4)C(F)(F)F,FC(c1ccc(cc1)c1nnc2n1nc(cc2)NC1CC1)(F)F,1.0,[4.394]
7,11,1421743,"[0.15, 2.037, 9.167]",1.0,False,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(cc3)OC,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc1ccc(cc1)OC,1.0,[9.167]
8,12,5616156,[4.902],1.0,False,c1cc(cc(c1)F)CSc2nnc(o2)c3ccncc3,Fc1cccc(c1)CSc1nnc(o1)c1ccncc1,1.0,[4.902]
9,13,1782302,"[0.15, 2.037, 9.167]",1.0,False,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(cc3)Cl,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc1ccc(cc1)Cl,1.0,[9.167]
